caseid;activity;timestamp
1000013;Send Purchase Order;05/04/2016 07:28
1000013;Receive Goods;12/04/2016 07:28
1000013;Scan Invoice;20/04/2016 07:28
1000013;Book Invoice;01/05/2016 07:28
1000014;Create Purchase Requisition Item;01/04/2016 07:28
1000014;Create Purchase Order Item;02/04/2016 07:28
1000014;Send Purchase Order;03/04/2016 07:28
1000014;Receive Goods;11/04/2016 07:28
1000014;Scan Invoice;20/04/2016 07:28
1000014;Book Invoice;05/05/2016 07:28
1000015;Create Purchase Requisition Item;01/04/2016 07:30
1000015;Create Purchase Order Item;02/04/2016 07:30
1000015;Send Purchase Order;04/04/2016 07:30
1000015;Receive Goods;12/04/2016 07:30
1000015;Scan Invoice;18/04/2016 07:30
1000015;Book Invoice;03/05/2016 07:30
1000016;Create Purchase Requisition Item;30/03/2016 07:32
1000016;Create Purchase Order Item;02/04/2016 07:32
1000016;Send Purchase Order;05/04/2016 07:32
1000016;Receive Goods;12/04/2016 07:32
1000016;Scan Invoice;20/04/2016 07:32
1000016;Book Invoice;06/05/2016 07:32
1000017;Create Purchase Requisition Item;31/03/2016 07:32
1000017;Create Purchase Order Item;02/04/2016 07:32
1000017;Send Purchase Order;04/04/2016 07:32
1000017;Receive Goods;13/04/2016 07:32
1000017;Scan Invoice;18/04/2016 07:32
1000017;Book Invoice;06/05/2016 07:32
1000018;Create Purchase Requisition Item;30/03/2016 07:32
1000018;Create Purchase Order Item;02/04/2016 07:32
1000018;Send Purchase Order;03/04/2016 07:32
1000018;Receive Goods;11/04/2016 07:32
1000018;Scan Invoice;18/04/2016 07:32
1000018;Book Invoice;01/05/2016 07:32
1000019;Create Purchase Requisition Item;31/03/2016 07:33
1000019;Create Purchase Order Item;02/04/2016 07:33
1000019;Send Purchase Order;04/04/2016 07:33
1000019;Receive Goods;13/04/2016 07:33
1000019;Scan Invoice;19/04/2016 07:33
1000019;Book Invoice;02/05/2016 07:33
100002;Create Purchase Requisition Item;04/10/2016 11:52
100002;Create Purchase Order Item;06/10/2016 11:52
100002;Send Purchase Order;08/10/2016 11:52
100002;Change Price;13/10/2016 11:52
100002;Receive Goods;25/10/2016 11:52
100002;Scan Invoice;28/10/2016 11:52
100002;Book Invoice;10/11/2016 11:52
1000020;Create Purchase Requisition Item;01/04/2016 07:33
1000020;Create Purchase Order Item;02/04/2016 07:33
1000020;Send Purchase Order;05/04/2016 07:33
1000020;Receive Goods;12/04/2016 07:33
1000020;Scan Invoice;20/04/2016 07:33
1000020;Book Invoice;30/04/2016 07:33
1000021;Create Purchase Requisition Item;01/04/2016 07:33
1000021;Create Purchase Order Item;02/04/2016 07:33
1000021;Send Purchase Order;05/04/2016 07:33
1000021;Receive Goods;13/04/2016 07:33
1000021;Scan Invoice;16/04/2016 07:33
1000021;Book Invoice;03/05/2016 07:33
1000022;Create Purchase Requisition Item;30/03/2016 07:33
1000022;Create Purchase Order Item;02/04/2016 07:33
1000022;Send Purchase Order;04/04/2016 07:33
1000022;Receive Goods;11/04/2016 07:33
1000022;Scan Invoice;19/04/2016 07:33
1000022;Book Invoice;28/04/2016 07:33
1000023;Create Purchase Requisition Item;31/03/2016 07:33
1000023;Create Purchase Order Item;02/04/2016 07:33
1000023;Send Purchase Order;03/04/2016 07:33
1000023;Receive Goods;12/04/2016 07:33
1000023;Scan Invoice;17/04/2016 07:33
1000023;Book Invoice;03/05/2016 07:33
1000024;Create Purchase Requisition Item;31/03/2016 07:33
1000024;Create Purchase Order Item;02/04/2016 07:33
1000024;Send Purchase Order;03/04/2016 07:33
1000024;Receive Goods;11/04/2016 07:33
1000024;Scan Invoice;19/04/2016 07:33
1000024;Book Invoice;28/04/2016 07:33
1000025;Create Purchase Requisition Item;31/03/2016 07:33
1000025;Create Purchase Order Item;02/04/2016 07:33
1000025;Send Purchase Order;03/04/2016 07:33
1000025;Receive Goods;13/04/2016 07:33
1000025;Scan Invoice;18/04/2016 07:33
1000025;Book Invoice;04/05/2016 07:33
1000026;Create Purchase Requisition Item;30/03/2016 07:33
1000026;Create Purchase Order Item;02/04/2016 07:33
1000026;Send Purchase Order;04/04/2016 07:33
1000026;Receive Goods;11/04/2016 07:33
1000026;Scan Invoice;19/04/2016 07:33
1000026;Book Invoice;01/05/2016 07:33
1000027;Scan Invoice;12/10/2016 10:00
1000027;Create Purchase Order Item;15/10/2016 10:00
1000027;Send Purchase Order;17/10/2016 10:00
1000027;Receive Goods;25/10/2016 10:00
1000027;Book Invoice;12/11/2016 10:00
1000028;Scan Invoice;14/10/2016 10:00
1000028;Create Purchase Order Item;15/10/2016 10:00
1000028;Send Purchase Order;18/10/2016 10:00
1000028;Receive Goods;26/10/2016 10:00
1000028;Book Invoice;09/11/2016 10:00
1000029;Scan Invoice;12/08/2016 10:00
1000029;Create Purchase Order Item;15/08/2016 10:00
1000029;Send Purchase Order;18/08/2016 10:00
1000029;Receive Goods;27/08/2016 10:00
1000029;Book Invoice;12/09/2016 10:00
100003;Create Purchase Requisition Item;04/10/2016 11:52
100003;Create Purchase Order Item;06/10/2016 11:52
100003;Send Purchase Order;08/10/2016 11:52
100003;Change Price;16/10/2016 11:52
100003;Receive Goods;24/10/2016 11:52
100003;Scan Invoice;30/10/2016 11:52
100003;Book Invoice;05/11/2016 11:52
1000030;Create Purchase Requisition Item;31/03/2016 07:47
1000030;Create Purchase Order Item;02/04/2016 07:47
1000030;Send Purchase Order;04/04/2016 07:47
1000030;Change Price;11/04/2016 07:47
1000030;Receive Goods;20/04/2016 07:47
1000030;Scan Invoice;27/04/2016 07:47
1000030;Book Invoice;06/05/2016 07:47
1000031;Create Purchase Requisition Item;31/03/2016 07:47
1000031;Create Purchase Order Item;02/04/2016 07:47
1000031;Change Quantity;02/04/2016 07:51
1000031;Send Purchase Order;05/04/2016 07:47
1000031;Change Price;13/04/2016 07:47
1000031;Receive Goods;21/04/2016 07:47
1000031;Scan Invoice;28/04/2016 07:47
1000031;Book Invoice;05/05/2016 07:47
1000032;Create Purchase Requisition Item;01/04/2016 07:47
1000032;Create Purchase Order Item;02/04/2016 07:47
1000032;Send Purchase Order;04/04/2016 07:47
1000032;Change Price;10/04/2016 07:47
1000032;Receive Goods;22/04/2016 07:47
1000032;Scan Invoice;26/04/2016 07:47
1000032;Book Invoice;13/05/2016 07:47
1000033;Create Purchase Requisition Item;31/03/2016 07:47
1000033;Create Purchase Order Item;02/04/2016 07:47
1000033;Change Quantity;02/04/2016 07:51
1000033;Send Purchase Order;05/04/2016 07:47
1000033;Change Price;13/04/2016 07:47
1000033;Receive Goods;19/04/2016 07:47
1000033;Scan Invoice;26/04/2016 07:47
1000033;Book Invoice;11/05/2016 07:47
1000034;Create Purchase Order Item;02/04/2016 07:47
1000034;Send Purchase Order;04/04/2016 07:47
1000034;Receive Goods;12/04/2016 07:47
1000034;Scan Invoice;17/04/2016 07:47
1000034;Book Invoice;30/04/2016 07:47
1000035;Create Purchase Order Item;02/04/2016 07:52
1000035;Send Purchase Order;04/04/2016 07:52
1000035;Receive Goods;13/04/2016 07:52
1000035;Scan Invoice;16/04/2016 07:52
1000035;Book Invoice;05/05/2016 07:52
1000036;Create Purchase Order Item;02/04/2016 07:53
1000036;Send Purchase Order;05/04/2016 07:53
1000036;Receive Goods;13/04/2016 07:53
1000036;Scan Invoice;16/04/2016 07:53
1000036;Book Invoice;02/05/2016 07:53
1000037;Create Purchase Order Item;02/04/2016 07:57
1000037;Send Purchase Order;04/04/2016 07:57
1000037;Receive Goods;13/04/2016 07:57
1000037;Scan Invoice;18/04/2016 07:57
1000037;Book Invoice;27/04/2016 07:57
1000038;Create Purchase Order Item;02/04/2016 07:57
1000038;Send Purchase Order;03/04/2016 07:57
1000038;Receive Goods;13/04/2016 07:57
1000038;Scan Invoice;19/04/2016 07:57
1000038;Book Invoice;05/05/2016 07:57
1000039;Create Purchase Order Item;02/04/2016 07:57
1000039;Send Purchase Order;03/04/2016 07:57
1000039;Receive Goods;11/04/2016 07:57
1000039;Scan Invoice;18/04/2016 07:57
1000039;Book Invoice;04/05/2016 07:57
100004;Create Purchase Requisition Item;04/10/2016 11:52
100004;Create Purchase Order Item;06/10/2016 11:52
100004;Send Purchase Order;09/10/2016 11:52
100004;Change Price;15/10/2016 11:52
100004;Receive Goods;24/10/2016 11:52
100004;Scan Invoice;29/10/2016 11:52
100004;Book Invoice;05/11/2016 11:52
1000040;Create Purchase Requisition Item;01/04/2016 07:57
1000040;Create Purchase Order Item;02/04/2016 07:57
1000040;Send Purchase Order;03/04/2016 07:57
1000040;Receive Order Confirmation;06/04/2016 07:57
1000040;Receive Goods;14/04/2016 07:57
1000040;Scan Invoice;19/04/2016 07:57
1000040;Book Invoice;30/04/2016 07:57
1000041;Create Purchase Requisition Item;01/04/2016 08:12
1000041;Create Purchase Order Item;02/04/2016 08:12
1000041;Send Purchase Order;03/04/2016 08:12
1000041;Receive Order Confirmation;06/04/2016 08:12
1000041;Receive Goods;13/04/2016 08:12
1000041;Scan Invoice;17/04/2016 08:12
1000041;Book Invoice;02/05/2016 08:12
1000042;Create Purchase Requisition Item;30/03/2016 08:48
1000042;Create Purchase Order Item;02/04/2016 08:48
1000042;Send Purchase Order;03/04/2016 08:48
1000042;Dun Order Confirmation;09/04/2016 08:48
1000042;Receive Order Confirmation;12/04/2016 08:48
1000042;Receive Goods;19/04/2016 08:48
1000042;Scan Invoice;24/04/2016 08:48
1000042;Book Invoice;06/05/2016 08:48
1000043;Create Purchase Requisition Item;01/04/2016 08:48
1000043;Create Purchase Order Item;02/04/2016 08:48
1000043;Send Purchase Order;05/04/2016 08:48
1000043;Dun Order Confirmation;08/04/2016 08:48
1000043;Receive Order Confirmation;11/04/2016 08:48
1000043;Receive Goods;18/04/2016 08:48
1000043;Scan Invoice;23/04/2016 08:48
1000043;Book Invoice;30/04/2016 08:48
1000044;Create Purchase Requisition Item;31/03/2016 08:54
1000044;Create Purchase Order Item;02/04/2016 08:54
1000044;Send Purchase Order;05/04/2016 08:54
1000044;Receive Goods;12/04/2016 08:54
1000044;Scan Invoice;20/04/2016 08:54
1000044;Set Payment Block;23/04/2016 08:54
1000044;Remove Payment Block;27/04/2016 08:54
1000044;Book Invoice;10/05/2016 08:54
1000045;Create Purchase Requisition Item;31/03/2016 08:54
1000045;Create Purchase Order Item;02/04/2016 08:54
1000045;Send Purchase Order;04/04/2016 08:54
1000045;Send Purchase Order Update;06/04/2016 08:54
1000045;Receive Goods;16/04/2016 08:54
1000045;Scan Invoice;20/04/2016 08:54
1000045;Book Invoice;08/05/2016 08:54
1000046;Create Purchase Requisition Item;01/04/2016 08:56
1000046;Create Purchase Order Item;02/04/2016 08:56
1000046;Send Purchase Order;05/04/2016 08:56
1000046;Change Currency;07/04/2016 08:56
1000046;Receive Goods;16/04/2016 08:56
1000046;Scan Invoice;21/04/2016 08:56
1000046;Book Invoice;06/05/2016 08:56
1000047;Create Purchase Requisition Item;30/03/2016 08:56
1000047;Create Purchase Order Item;02/04/2016 08:56
1000047;Send Purchase Order;03/04/2016 08:56
1000047;Delete Purchase Order Item;13/04/2016 08:56
1000048;Create Purchase Requisition Item;31/03/2016 08:56
1000048;Create Purchase Order Item;02/04/2016 08:56
1000048;Send Purchase Order;04/04/2016 08:56
1000048;Block Purchase Order Item;12/04/2016 08:56
1000049;Create Purchase Requisition Item;01/04/2016 08:57
1000049;Create Purchase Order Item;02/04/2016 08:57
1000049;Send Purchase Order;05/04/2016 08:57
1000049;Block Purchase Order Item;08/04/2016 08:57
1000049;Reactivate Purchase Order Item;14/04/2016 08:57
1000049;Receive Goods;17/04/2016 08:57
1000049;Scan Invoice;22/04/2016 08:57
1000049;Book Invoice;03/05/2016 08:57
100005;Create Purchase Requisition Item;05/10/2016 11:52
100005;Create Purchase Order Item;06/10/2016 11:52
100005;Send Purchase Order;08/10/2016 11:52
100005;Change Price;15/10/2016 11:52
100005;Receive Goods;26/10/2016 11:52
100005;Scan Invoice;01/11/2016 11:52
100005;Book Invoice;11/11/2016 11:52
1000050;Create Purchase Requisition Item;30/03/2016 08:58
1000050;Create Purchase Order Item;02/04/2016 08:58
1000050;Refuse Purchase Order Item;03/04/2016 08:58
1000051;Create Purchase Requisition Item;31/03/2016 09:02
1000051;Create Purchase Order Item;02/04/2016 09:02
1000051;Send Purchase Order;04/04/2016 09:02
1000051;Receive Goods;11/04/2016 09:02
1000051;Scan Invoice;17/04/2016 09:02
1000051;Book Invoice;06/05/2016 09:02
1000052;Create Purchase Requisition Item;31/03/2016 09:03
1000052;Create Purchase Order Item;02/04/2016 09:03
1000052;Send Purchase Order;04/04/2016 09:03
1000052;Receive Goods;13/04/2016 09:03
1000052;Scan Invoice;17/04/2016 09:03
1000052;Book Invoice;29/04/2016 09:03
1000053;Create Purchase Requisition Item;30/03/2016 09:12
1000053;Create Purchase Order Item;02/04/2016 09:12
1000053;Send Purchase Order;05/04/2016 09:12
1000053;Receive Goods;13/04/2016 09:12
1000053;Scan Invoice;17/04/2016 09:12
1000053;Book Invoice;30/04/2016 09:12
1000054;Create Purchase Requisition Item;31/03/2016 09:12
1000054;Create Purchase Order Item;02/04/2016 09:12
1000054;Send Purchase Order;04/04/2016 09:12
1000054;Receive Goods;13/04/2016 09:12
1000054;Scan Invoice;18/04/2016 09:12
1000054;Book Invoice;02/05/2016 09:12
1000055;Create Purchase Requisition Item;30/03/2016 09:14
1000055;Create Purchase Order Item;02/04/2016 09:14
1000055;Send Purchase Order;05/04/2016 09:14
1000055;Receive Goods;14/04/2016 09:14
1000055;Scan Invoice;17/04/2016 09:14
1000055;Book Invoice;30/04/2016 09:14
1000056;Create Purchase Requisition Item;30/03/2016 09:19
1000056;Create Purchase Order Item;02/04/2016 09:19
1000056;Send Purchase Order;04/04/2016 09:19
1000056;Receive Goods;11/04/2016 09:19
1000056;Scan Invoice;19/04/2016 09:19
1000056;Book Invoice;06/05/2016 09:19
1000057;Create Purchase Requisition Item;30/03/2016 09:19
1000057;Create Purchase Order Item;02/04/2016 09:19
1000057;Send Purchase Order;04/04/2016 09:19
1000057;Receive Goods;13/04/2016 09:19
1000057;Scan Invoice;19/04/2016 09:19
1000057;Book Invoice;01/05/2016 09:19
1000058;Create Purchase Requisition Item;31/03/2016 09:19
1000058;Create Purchase Order Item;02/04/2016 09:19
1000058;Send Purchase Order;04/04/2016 09:19
1000058;Receive Goods;11/04/2016 09:19
1000058;Scan Invoice;16/04/2016 09:19
1000058;Book Invoice;04/05/2016 09:19
1000059;Create Purchase Requisition Item;31/03/2016 09:19
1000059;Create Purchase Order Item;02/04/2016 09:19
1000059;Send Purchase Order;04/04/2016 09:19
1000059;Receive Goods;12/04/2016 09:19
1000059;Scan Invoice;20/04/2016 09:19
1000059;Book Invoice;29/04/2016 09:19
100006;Create Purchase Order Item;06/10/2016 11:53
100006;Send Purchase Order;09/10/2016 11:53
100006;Receive Goods;17/10/2016 11:53
100006;Scan Invoice;23/10/2016 11:53
100006;Book Invoice;04/11/2016 11:53
1000060;Create Purchase Requisition Item;31/03/2016 09:19
1000060;Create Purchase Order Item;02/04/2016 09:19
1000060;Send Purchase Order;03/04/2016 09:19
1000060;Receive Goods;10/04/2016 09:19
1000060;Scan Invoice;17/04/2016 09:19
1000060;Book Invoice;01/05/2016 09:19
1000061;Create Purchase Requisition Item;31/03/2016 09:20
1000061;Create Purchase Order Item;02/04/2016 09:20
1000061;Send Purchase Order;05/04/2016 09:20
1000061;Receive Goods;12/04/2016 09:20
1000061;Scan Invoice;18/04/2016 09:20
1000061;Book Invoice;03/05/2016 09:20
1000062;Create Purchase Requisition Item;31/03/2016 09:20
1000062;Create Purchase Order Item;02/04/2016 09:20
1000062;Send Purchase Order;04/04/2016 09:20
1000062;Receive Goods;13/04/2016 09:20
1000062;Scan Invoice;20/04/2016 09:20
1000062;Book Invoice;29/04/2016 09:20
1000063;Create Purchase Requisition Item;01/04/2016 09:20
1000063;Create Purchase Order Item;02/04/2016 09:20
1000063;Send Purchase Order;04/04/2016 09:20
1000063;Receive Goods;10/04/2016 09:20
1000063;Scan Invoice;16/04/2016 09:20
1000063;Book Invoice;03/05/2016 09:20
1000064;Create Purchase Requisition Item;31/03/2016 09:20
1000064;Create Purchase Order Item;02/04/2016 09:20
1000064;Send Purchase Order;04/04/2016 09:20
1000064;Receive Goods;12/04/2016 09:20
1000064;Scan Invoice;19/04/2016 09:20
1000064;Book Invoice;01/05/2016 09:20
1000065;Create Purchase Requisition Item;31/03/2016 09:21
1000065;Create Purchase Order Item;02/04/2016 09:21
1000065;Send Purchase Order;04/04/2016 09:21
1000065;Receive Goods;12/04/2016 09:21
1000065;Scan Invoice;18/04/2016 09:21
1000065;Book Invoice;27/04/2016 09:21
1000066;Create Purchase Requisition Item;18/05/2016 08:50
1000066;Create Purchase Order Item;19/05/2016 08:50
1000066;Send Purchase Order;21/05/2016 08:50
1000066;Receive Goods;30/05/2016 08:50
1000066;Scan Invoice;03/06/2016 08:50
1000066;Book Invoice;16/06/2016 08:50
1000067;Create Purchase Requisition Item;02/08/2016 14:59
1000067;Create Purchase Order Item;04/08/2016 14:59
1000067;Send Purchase Order;06/08/2016 14:59
1000067;Receive Goods;13/08/2016 14:59
1000067;Scan Invoice;21/08/2016 14:59
1000067;Book Invoice;04/09/2016 14:59
1000068;Scan Invoice;13/09/2016 10:00
1000068;Create Purchase Order Item;15/09/2016 10:00
1000068;Send Purchase Order;18/09/2016 10:00
1000068;Receive Goods;25/09/2016 10:00
1000068;Book Invoice;08/10/2016 10:00
1000069;Scan Invoice;12/03/2016 10:00
1000069;Create Purchase Order Item;15/03/2016 10:00
1000069;Send Purchase Order;18/03/2016 10:00
1000069;Receive Goods;25/03/2016 10:00
1000069;Book Invoice;14/04/2016 10:00
100007;Create Purchase Order Item;06/10/2016 11:52
100007;Send Purchase Order;08/10/2016 11:52
100007;Receive Goods;15/10/2016 11:52
100007;Scan Invoice;23/10/2016 11:52
100007;Book Invoice;27/10/2016 11:52
1000070;Scan Invoice;12/09/2016 10:00
1000070;Create Purchase Order Item;15/09/2016 10:00
1000070;Send Purchase Order;17/09/2016 10:00
1000070;Receive Goods;24/09/2016 10:00
1000070;Book Invoice;09/10/2016 10:00
1000071;Create Purchase Requisition Item;31/03/2016 09:28
1000071;Create Purchase Order Item;02/04/2016 09:28
1000071;Send Purchase Order;04/04/2016 09:28
1000071;Change Price;13/04/2016 09:28
1000071;Receive Goods;23/04/2016 09:28
1000071;Scan Invoice;26/04/2016 09:28
1000071;Book Invoice;10/05/2016 09:28
1000072;Create Purchase Requisition Item;30/03/2016 09:28
1000072;Create Purchase Order Item;02/04/2016 09:28
1000072;Send Purchase Order;03/04/2016 09:28
1000072;Change Price;12/04/2016 09:28
1000072;Receive Goods;19/04/2016 09:28
1000072;Scan Invoice;26/04/2016 09:28
1000072;Book Invoice;05/05/2016 09:28
1000073;Create Purchase Requisition Item;01/04/2016 09:28
1000073;Create Purchase Order Item;02/04/2016 09:28
1000073;Send Purchase Order;03/04/2016 09:28
1000073;Change Price;10/04/2016 09:28
1000073;Receive Goods;23/04/2016 09:28
1000073;Scan Invoice;27/04/2016 09:28
1000073;Book Invoice;10/05/2016 09:28
1000074;Create Purchase Requisition Item;30/03/2016 09:28
1000074;Create Purchase Order Item;02/04/2016 09:28
1000074;Send Purchase Order;04/04/2016 09:28
1000074;Change Price;11/04/2016 09:28
1000074;Receive Goods;21/04/2016 09:28
1000074;Scan Invoice;28/04/2016 09:28
1000074;Book Invoice;13/05/2016 09:28
1000075;Create Purchase Order Item;02/04/2016 09:29
1000075;Send Purchase Order;04/04/2016 09:29
1000075;Receive Goods;12/04/2016 09:29
1000075;Scan Invoice;16/04/2016 09:29
1000075;Book Invoice;28/04/2016 09:29
1000076;Create Purchase Order Item;02/04/2016 09:29
1000076;Send Purchase Order;04/04/2016 09:29
1000076;Receive Goods;13/04/2016 09:29
1000076;Scan Invoice;19/04/2016 09:29
1000076;Book Invoice;27/04/2016 09:29
1000077;Create Purchase Order Item;02/04/2016 09:29
1000077;Send Purchase Order;04/04/2016 09:29
1000077;Receive Goods;13/04/2016 09:29
1000077;Scan Invoice;16/04/2016 09:29
1000077;Book Invoice;03/05/2016 09:29
1000078;Create Purchase Order Item;02/04/2016 09:29
1000078;Send Purchase Order;03/04/2016 09:29
1000078;Receive Goods;11/04/2016 09:29
1000078;Scan Invoice;20/04/2016 09:29
1000078;Book Invoice;23/04/2016 09:29
1000079;Create Purchase Order Item;02/04/2016 09:29
1000079;Send Purchase Order;04/04/2016 09:29
1000079;Receive Goods;10/04/2016 09:29
1000079;Scan Invoice;20/04/2016 09:29
1000079;Book Invoice;27/04/2016 09:29
100008;Create Purchase Order Item;06/10/2016 11:53
100008;Send Purchase Order;08/10/2016 11:53
100008;Receive Goods;15/10/2016 11:53
100008;Scan Invoice;23/10/2016 11:53
100008;Book Invoice;04/11/2016 11:53
1000080;Create Purchase Order Item;02/04/2016 09:29
1000080;Send Purchase Order;04/04/2016 09:29
1000080;Receive Goods;12/04/2016 09:29
1000080;Scan Invoice;19/04/2016 09:29
1000080;Book Invoice;30/04/2016 09:29
1000081;Create Purchase Requisition Item;30/03/2016 09:32
1000081;Create Purchase Order Item;02/04/2016 09:32
1000081;Send Purchase Order;05/04/2016 09:32
1000081;Receive Order Confirmation;06/04/2016 09:32
1000081;Receive Goods;12/04/2016 09:32
1000081;Scan Invoice;18/04/2016 09:32
1000081;Book Invoice;24/04/2016 09:32
1000082;Create Purchase Requisition Item;31/03/2016 09:32
1000082;Create Purchase Order Item;02/04/2016 09:32
1000082;Send Purchase Order;03/04/2016 09:32
1000082;Receive Order Confirmation;07/04/2016 09:32
1000082;Receive Goods;11/04/2016 09:32
1000082;Scan Invoice;17/04/2016 09:32
1000082;Book Invoice;28/04/2016 09:32
1000083;Create Purchase Requisition Item;31/03/2016 09:35
1000083;Create Purchase Order Item;02/04/2016 09:35
1000083;Send Purchase Order;04/04/2016 09:35
1000083;Dun Order Confirmation;07/04/2016 09:35
1000083;Receive Order Confirmation;11/04/2016 09:35
1000083;Receive Goods;19/04/2016 09:35
1000083;Book Invoice;24/04/2016 09:35
1000083;Scan Invoice;25/04/2016 09:35
1000084;Create Purchase Requisition Item;31/03/2016 09:35
1000084;Create Purchase Order Item;02/04/2016 09:35
1000084;Send Purchase Order;03/04/2016 09:35
1000084;Dun Order Confirmation;06/04/2016 09:35
1000084;Receive Order Confirmation;10/04/2016 09:35
1000084;Receive Goods;19/04/2016 09:35
1000084;Book Invoice;24/04/2016 09:35
